,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Snow Depth,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,0,0,0,0,0,22.34090576,0,0,0,0,0,170.2413328,22.34090576,1007.914673,100,30.27858925,79.01634979,3.078492641,
2014,1,1,0,30,0,0,0,0,22.34090576,0,0,0,0,0,170.2413328,22.34090576,1007.914673,100,30.27858925,79.01634979,3.078492641,
2014,1,1,1,0,0,0,0,0,22.00997314,0,0,0,0,0,163.6921105,22.00997314,1007.76593,100,29.41133881,79.21266174,3.196363688,
2014,1,1,1,30,0,0,0,0,21.72283325,0,0,0,0,0,156.8850167,21.72283325,1007.754883,100,28.6100502,79.21266174,3.27645731,
2014,1,1,2,0,0,0,0,0,21.43569336,0,0,0,0,0,150.0052705,21.43569336,1007.743835,100,27.8087616,78.44874573,3.356550694,
2014,1,1,2,30,0,0,0,0,21.20256958,0,0,0,0,0,143.1053818,21.20256958,1007.855591,100,27.13921165,78.44874573,3.413466215,
2014,1,1,3,0,0,0,0,0,20.96941528,0,0,0,0,0,136.2083893,20.96941528,1007.967346,100,26.46966171,77.76517487,3.470381737,
2014,1,1,3,30,0,0,0,0,20.85341797,0,0,0,0,0,129.3283851,20.85341797,1008.158691,100,25.98525429,77.76517487,3.543919086,
2014,1,1,4,0,0,0,0,0,20.73745117,0,0,0,0,0,122.4765814,20.73745117,1008.349976,100,25.50084496,77.28961182,3.617456198,
2014,1,1,4,30,0,0,0,0,20.70601807,0,0,0,0,0,115.6637299,20.70601807,1008.482178,100,25.5591259,77.28961182,3.667254686,
2014,1,1,5,0,0,0,0,0,20.67458496,0,0,0,0,0,108.9014343,20.67458496,1008.614441,100,25.61740685,76.45910645,3.717053175,
2014,1,1,5,30,0,0,0,0,20.80266724,0,0,0,0,0,102.2031447,20.80266724,1008.955139,100,25.84947205,76.45910645,3.729279995,
2014,1,1,6,0,0,0,0,0,20.93078003,0,0,0,0,0,95.58515894,20.93078003,1009.295837,100,26.08153725,76.0382843,3.741506577,
2014,1,1,6,30,0,0,0,0,21.37191162,0,0,0,0,0,89.06435446,21.53954468,1009.636536,98.97872162,26.3993721,76.0382843,3.731005192,
2014,1,1,7,0,42,341,85,0,20.79296265,42,341,0,85,0,82.67599124,22.14830933,1009.977234,92.03688049,26.71720696,77.80233002,3.720504045,
