,Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Snow Depth,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
0,2014,1,1,0,30,0,0,0,1,-14.72369995,0,0,0,0,0.186694592,159.2000603,-13.51450195,1009.034668,90.58860016,2.000738382,297.3114624,5.984122276
0,2014,1,1,0,30,0,0,0,1,-14.72369995,0,0,0,0,0.186694592,159.2000603,-13.51450195,1009.034668,90.58860016,2.000738382,297.3114624,5.984122276
1,2014,1,1,1,0,0,0,0,1,-15.23166504,0,0,0,0,0.186637372,157.8026744,-13.84369507,1009.365906,89.23737335,1.962671876,303.6960144,5.954223156
2,2014,1,1,1,30,0,0,0,4,-15.50098267,0,0,0,0,0.186637372,154.9227587,-14.26254883,1009.834839,90.31112671,1.939523697,303.6960144,5.802596092
3,2014,1,1,2,0,0,0,0,7,-15.77609863,0,0,0,0,0.186582044,151.0115029,-14.68140259,1010.303833,91.3605957,1.916375399,309.0081787,5.650969028
4,2014,1,1,2,30,0,0,0,1,-15.9526123,0,0,0,0,0.186582044,146.4451876,-15.07919922,1010.575562,93.02775574,1.893558741,309.0081787,5.510710716
5,2014,1,1,3,0,0,0,0,4,-16.13156738,0,0,0,0,0.186521009,141.4776318,-15.47699585,1010.847351,94.7145462,1.870742083,312.9223633,5.370452404
6,2014,1,1,3,30,0,0,0,4,-16.23831787,0,0,0,0,0.186521009,136.2704974,-15.75064697,1011.038696,96.02877808,1.870983601,312.9223633,5.136674881
7,2014,1,1,4,0,0,0,0,4,-16.34592285,0,0,0,0,0.186521649,130.9285467,-16.0242981,1011.22998,97.3584137,1.871225238,315.7628174,4.902897835
8,2014,1,1,4,30,0,0,0,1,-16.41092529,0,0,0,0,0.186521649,125.5234917,-16.22345581,1011.362183,98.44991302,1.902791262,315.7628174,4.620510578
9,2014,1,1,5,0,0,0,0,4,-16.47626343,0,0,0,0,0.186459973,120.1082735,-16.42258301,1011.494446,99.55315399,1.934357286,317.8070068,4.338123322
10,2014,1,1,5,30,0,0,0,4,-16.5383667,0,0,0,0,0.186459973,114.7255038,-16.5383667,1011.515137,100,1.970213294,317.8070068,4.087117195
11,2014,1,1,6,0,0,0,0,7,-16.65418091,0,0,0,0,0.186398938,109.4126307,-16.65418091,1011.535828,100,2.006069422,320.4384155,3.836111546
12,2014,1,1,6,30,0,0,0,4,-16.70075073,0,0,0,0,0.186398938,104.2052964,-16.70075073,1011.876526,100,2.056804419,320.4384155,3.621765852
