# This dataset defines application requirements for use cases presented in the
# EWSN submission. The park is divided in two main areas, i.e., riverside and
# avenue. The WSN layout is provided in the park_wsn_layout.png file.

@App1=[9:00pm-4:30am->2, 4:30am-6:00am->5, 6:00am-9:00am->30, 9:00am-4:00pm->5, 4:00pm-9:00pm->30]

@App2=[9:00pm-6:00am->2, 6:00am-9:00am->5, 9:00am-11:00am->15, 11:00am-1:00pm->30, 1:00pm-7:00pm->15, 7:00pm-9:00pm->5]

@App3=[9:00pm-4:30am->2, 4:30am-6:00am->5, 6:00am-9:00am->30, 9:00am-11:00am->15, 11:00am-1:00pm->30, 1:00pm-4:00pm->15, 4:00pm-9:00pm->30]

# <time, location, frequency>
# App1 requirements (smart lighting system)
<9:00pm-4:30am, RIVERSIDE_N2, 2>
<9:00pm-4:30am, RIVERSIDE_N4, 2>
<9:00pm-4:30am, RIVERSIDE_N5, 2>
<9:00pm-4:30am, RIVERSIDE_N7, 2>
<9:00pm-4:30am, AVENUE_N11, 2>
<9:00pm-4:30am, AVENUE_N13, 2>
<9:00pm-4:30am, AVENUE_N16, 2>
<9:00pm-4:30am, AVENUE_N20, 2>

<4:30am-6:00am, RIVERSIDE_N2, 5>
<4:30am-6:00am, RIVERSIDE_N4, 5>
<4:30am-6:00am, RIVERSIDE_N5, 5>
<4:30am-6:00am, RIVERSIDE_N7, 5>
<4:30am-6:00am, AVENUE_N11, 5>
<4:30am-6:00am, AVENUE_N13, 5>
<4:30am-6:00am, AVENUE_N16, 5>
<4:30am-6:00am, AVENUE_N20, 5>

<6:00am-9:00am, RIVERSIDE_N2, 30>
<6:00am-9:00am, RIVERSIDE_N4, 30>
<6:00am-9:00am, RIVERSIDE_N5, 30>
<6:00am-9:00am, RIVERSIDE_N7, 30>
<6:00am-9:00am, AVENUE_N11, 30>
<6:00am-9:00am, AVENUE_N13, 30>
<6:00am-9:00am, AVENUE_N16, 30>
<6:00am-9:00am, AVENUE_N20, 30>

<9:00am-4:00pm, RIVERSIDE_N2, 5>
<9:00am-4:00pm, RIVERSIDE_N4, 5>
<9:00am-4:00pm, RIVERSIDE_N5, 5>
<9:00am-4:00pm, RIVERSIDE_N7, 5>
<9:00am-4:00pm, AVENUE_N11, 5>
<9:00am-4:00pm, AVENUE_N13, 5>
<9:00am-4:00pm, AVENUE_N16, 5>
<9:00am-4:00pm, AVENUE_N20, 5>

<4:00pm-9:00pm, RIVERSIDE_N2, 30>
<4:00pm-9:00pm, RIVERSIDE_N4, 30>
<4:00pm-9:00pm, RIVERSIDE_N5, 30>
<4:00pm-9:00pm, RIVERSIDE_N7, 30>
<4:00pm-9:00pm, AVENUE_N11, 30>
<4:00pm-9:00pm, AVENUE_N13, 30>
<4:00pm-9:00pm, AVENUE_N16, 30>
<4:00pm-9:00pm, AVENUE_N20, 30>

